index,o_label,keywords,score,adjusted_score,rank,label
132,1,"['도전 패턴', '변환 패턴', '도전', '파장 변환', '패턴', '상기', '파장', '상기 도전', '상기 파장', '변환']",4.531451169,4.531451169,63,1
133,1,"['서브 전극', '서브', '상기 서브', '단위 화소', '전극', '상기', '단위', '화소 영역', '상기 단위', '서브 영역']",2.751458155,2.751458155,77,2
134,1,"['기체', '원료', '원료 기체', '복수 모듈', '상기 원료', '상기', '밸브', '퍼지', '공급원', '기체 공급원']",6.700532731,6.700532731,35,1
135,1,"['상기 기화', '기화', '적외선', '적외선 히터', '상기', '상기 적외선', '과부', '히터', '유기물', '기화 내부']",7.105997839,7.105997839,26,1
136,1,"['상기', '방출', '양자', '복수 양자', '방출 영역', '서브 화소', '대역 통과', '통과 필터', '대역', '상기 방출']",5.601920443,5.601920443,50,1
137,1,"['이징', '상기', '신호', '상기 이징', '패드', '패널', '이징 신호', '이징 전원', '저항 소자', '전원']",4.696865154,4.696865154,60,1
138,1,"['절연 구조', '상기', '구조', '절연', '상기 절연', '구조 상기', '소자', '상기 전극', '내부 공간', '전극']",-1.693183913,-1.693183913,95,2
139,1,"['집합', '데이터 집합', '분류', '상기', '데이터', '추가 데이터', '추가', '예측', '처리기', '입력 데이터']",4.215626081,4.215626081,65,1
140,1,"['상기', '이동 경로', '시작', '가공 영역', '상기 이동', '상기 가공', '가공', '레이저', '경로', '상기 시작']",6.735812952,6.735812952,32,1
141,1,"['수신기', '복제', '분기', '특징 수신기', '수신기 상기', '상기', '전류 소스', '전압', '출력', '전류']",5.202666594,5.202666594,55,1
142,1,"['스퍼터링', '타겟', '확산', '확산 물질', '물질', '상기 확산', '타겟 물질', '스퍼터링 타겟', '스퍼터링 장치', '코어']",7.511352962,7.511352962,22,1
143,1,"['상기', '전극', '상기 전극', '접촉 전극', '접촉', '발광 소자', '절연', '소자', '상기 절연', '발광']",-5.134645949,-5.134645949,101,2
144,1,"['레이어', '상기 레이어', '상기', '출사', '로차', '광경 로차', '로차 발생기', '광경', '발생기', '간섭']",4.446675142,4.446675142,64,1
145,1,"['패턴 영역', '마스크', '프레임 조립', '프레임', '마스크 프레임', '보조', '조립', '더미 영역', '상기', '더미']",9.986677758,9.986677758,4,1
146,1,"['레이저', '서브 레이저', '마스터', '위상 변조', '위상', '변조', '레이저 방출', '스플릿', '서브', '마스터 레이저']",6.766277978,6.766277978,31,1
147,1,"['유공', '무공', '유공 영역', '무공 영역', '마스크', '상기 무공', '레이저', '프레임', '상기', '프레임 조립']",9.583416465,9.583416465,5,1
148,1,"['장판', '상기 장판', '상기', '증착', '정전', '상기 정전', '장판 상기', '장부', '상기 장부', '증착 장치']",5.793817425,5.793817425,46,1
149,1,"['상기', '마스크', '복수 패턴', '마스크 제조', '상기 금속', '증착 마스크', '금속', '패턴', '증착', '단계']",4.584819149,4.584819149,62,1
150,1,"['상기', '부분', '반도체', '연막', '상기 연막', '상기 부분', '상기 반도체', '활성', '부분 두께', '상기 활성']",0.033508365,0.033508365,91,2
151,1,"['보상', '상기', '전류', '노드', '상기 노드', '신호', '상기 보상', '응답', '유기 발광', '신호 응답']",4.887819405,4.887819405,57,1
152,1,"['플레이트', '통로', '사이드 플레이트', '상기', '사이드', '상기 사이드', '밸브', '상기 통로', '위치', '위치 이동']",6.118957326,6.118957326,44,1
153,1,"['상기', '표시 기판', '컬러', '컬러 필터', '변환 패턴', '상기 컬러', '필터', '파장 변환', '투과 패턴', '패턴']",2.875825842,2.875825842,75,2
154,1,"['상기', '확장', '반도체', '상기 확장', '본체', '상기 반도체', '직경', '접촉', '상기 본체', '소자']",1.973637838,1.973637838,81,2
155,1,"['마스크', '복수 마스크', '기판 처리', '처리 장치', '내부 노즐', '처리', '상기', '노즐', '배관', '선단']",5.636113239,5.636113239,49,1
156,1,"['테라', '상기 사용자', '사용자', '테라 표시', '특징 테라', '상기', '판단', '얼굴', '렌즈', '피부']",6.700532731,6.700532731,36,1
157,1,"['상기', '산란 입자', '디스플레이 장치', '산란', '농도', '입자', '광산', '디스플레이', '투과', '상기 투과']",3.753527961,3.753527961,71,2
158,1,"['레이저', '열처리', '레이저 열처리', '특징 레이저', '열처리 장치', '열처리 대상', '상기 레이저', '상기', '재귀', '상기 열처리']",9.107453577,9.107453577,7,1
159,1,"['덮개', '상기 덮개', '회전', '증착', '상기', '덮개 구동', '박막 증착', '부재', '증착 물질', '덮개 상기']",6.835796701,6.835796701,30,1
160,1,"['전극', '상기', '상기 전극', '아일랜드 전극', '전극 상기', '아일랜드', '상기 아일랜드', '연결 전극', '연결', '부분 포함']",0.51988977,0.51988977,86,2
161,1,"['리페어', '대상 표시', '표시 패널', '검사 대상', '상기', '검사', '패널', '패널 리페어', '상기 검사', '상기 필터']",3.234796828,3.234796828,73,2
162,1,"['가스', '가스 노즐', '상기 가스', '노즐', '반응', '상기', '반응 가스', '노즐 상기', '상기 반응', '단위 시간']",7.79914502,7.79914502,15,1
